,state_code,median_age
0,AL,39.7
1,AK,35.5
2,AZ,38.6
3,AR,38.5
4,CA,37.3
5,CO,37.2
6,CT,41.2
7,DE,41.4
8,DC,34.4
9,FL,42.7
10,GA,37.6
11,HI,40.0
12,ID,37.4
13,IL,38.9
14,IN,38.1
15,IA,38.7
16,KS,37.6
17,KY,39.3
18,LA,38.0
19,ME,45.0
20,MD,39.2
21,MA,39.8
22,MI,40.0
23,MN,38.7
24,MS,38.4
25,MO,39.1
26,MT,40.6
27,NE,37.1
28,NV,38.9
29,NH,43.3
30,NJ,40.2
31,NM,38.6
32,NY,39.5
33,NC,39.2
34,ND,35.8
35,OH,39.7
36,OK,37.1
37,OR,40.2
38,PA,41.0
39,RI,40.4
40,SC,40.2
41,SD,37.6
42,TN,39.2
43,TX,35.3
44,UT,31.6
45,VT,42.8
46,VA,38.9
47,WA,38.0
48,WV,43.1
49,WI,40.0
50,WY,38.7
