,state_code,median_income
0,AL,53956
1,AK,80197
2,AZ,64777
3,AR,51183
4,CA,83056
5,CO,77673
6,CT,79719
7,DE,70911
8,DC,96762
9,FL,61736
10,GA,62844
11,HI,86391
12,ID,62774
13,IL,71240
14,IN,60813
15,IA,62209
16,KS,63321
17,KY,54191
18,LA,51730
19,ME,58782
20,MD,88742
21,MA,87328
22,MI,61497
23,MN,75523
24,MS,47247
25,MO,58838
26,MT,57211
27,NE,64591
28,NV,64574
29,NH,80972
30,NJ,87016
31,NM,52059
32,NY,73398
33,NC,59580
34,ND,61987
35,OH,60338
36,OK,54536
37,OR,67927
38,PA,64910
39,RI,75682
40,SC,56973
41,SD,60643
42,TN,56951
43,TX,66031
44,UT,77827
45,VT,67428
46,VA,79217
47,WA,80408
48,WV,49400
49,WI,64868
50,WY,66432
