,state_code,population
0,AL,4921532
1,AK,731158
2,AZ,7421401
3,AR,3030522
4,CA,39368078
5,CO,5807719
6,CT,3557006
7,DE,986809
8,DC,712816
9,FL,21733312
10,GA,10710017
11,HI,1407006
12,ID,1826913
13,IL,12587530
14,IN,6754953
15,IA,3163561
16,KS,2913804
17,KY,4477253
18,LA,4645319
19,ME,1350141
20,MD,6055802
21,MA,6893574
22,MI,9966559
23,MN,5657342
24,MS,2966785
25,MO,6151548
26,MT,1080577
27,NE,1937551
28,NV,3138259
29,NH,1366275
30,NJ,8882371
31,NM,2106318
32,NY,19336776
33,NC,10600824
34,ND,765309
35,OH,11693217
36,OK,3980783
37,OR,4241507
38,PA,12783253
39,RI,1057125
40,SC,5218040
41,SD,892716
42,TN,6886833
43,TX,29360756
44,UT,3249880
45,VT,623347
46,VA,8590562
47,WA,7693612
48,WV,1784786
49,WI,5832655
50,WY,582327
